 ,Area,Mean,Min,Max,Angle,Length
1,0.142,50611.648,29224.000,53885.000,180.000,4.500
2,0.136,50299.086,13085.000,55319.000,0.000,4.312
3,0.139,50443.542,26669.000,54591.000,90.000,4.406
4,0.142,50491.303,36021.000,56055.000,-90.000,4.500
5,0.134,49500.474,25392.000,60881.000,180.000,4.250
6,0.138,48838.887,18191.000,57809.000,90.000,4.375
7,0.142,48353.069,18897.000,57312.000,0.000,4.500
8,0.144,49092.816,18769.000,56618.000,-90.000,4.562
9,0.130,50453.662,24297.000,56014.000,90.000,4.125
10,0.122,51923.056,29064.000,56794.000,0.000,3.875
11,0.146,47216.973,35147.000,54081.000,-90.000,4.625
12,0.134,51135.978,29217.000,57858.000,180.000,4.250
